Year,Month,Day,Lat,Lon,Depth,Bottom_temp,Bottom_sal,Bottom_DO,Surface_temp,Surface_sal,Surface_DO,pH,Data_source
1996,8,5,29.151667,-83.113333,0.2,29.7,30.3,7.4,NA,NA,NA,8.2,FWC
1996,8,5,29.147667,-83.0905,0.2,30.8,30,9.5,NA,NA,NA,8.4,FWC
1996,8,5,29.147667,-83.0905,1.9,30.7,30,9.5,NA,NA,NA,8.4,FWC
1996,8,5,29.117667,-82.998,2.8,28.3,30.2,5.6,NA,NA,NA,8.2,FWC
1996,8,5,29.067,-82.960167,3,28.7,27.1,5.7,NA,NA,NA,8.1,FWC
1996,8,5,29.058833,-83.008167,3.9,28.8,30.4,5.5,NA,NA,NA,8.2,FWC
1996,8,5,29.151667,-83.113333,3.9,28.8,30.9,6.6,NA,NA,NA,8.2,FWC
1996,8,5,29.020333,-83.061,5.2,29.5,30.3,5.9,NA,NA,NA,8.2,FWC
1996,8,5,29.025333,-83.100833,5.6,29.6,31.1,6,NA,NA,NA,8.2,FWC
1996,8,5,29.089,-83.141167,6.1,29.3,33,6.3,NA,NA,NA,8.2,FWC
1996,8,6,29.242,-83.242833,0.2,29.6,32.2,5.6,NA,NA,NA,8.2,FWC
1996,8,6,29.266333,-83.2345,0.2,29.4,30.4,6.3,NA,NA,NA,8.3,FWC
1996,8,6,29.309167,-83.151,0.2,28.1,0.2,6.1,NA,NA,NA,8.1,FWC
1996,8,6,29.323167,-83.1395,0.2,28.1,0.2,6.1,NA,NA,NA,8.1,FWC
1996,8,6,29.309333,-83.119333,0.2,27.7,0.2,6.7,NA,NA,NA,8.2,FWC
1996,8,6,29.3005,-83.1145,0.2,27.9,0.2,6.3,NA,NA,NA,8.2,FWC
1996,8,6,29.259833,-83.183667,0.5,30.5,18.1,8.7,NA,NA,NA,8.3,FWC
1996,8,6,29.304167,-83.1695,1.4,28.3,3.4,5.3,NA,NA,NA,7.9,FWC
1996,8,6,29.309167,-83.151,1.8,28.1,0.3,5.9,NA,NA,NA,8.1,FWC
1996,8,6,29.323167,-83.1395,2.8,28.1,0.2,6.1,NA,NA,NA,8.1,FWC
1996,8,6,29.3005,-83.1145,3.7,27.7,0.2,6.1,NA,NA,NA,8.1,FWC
1996,8,6,29.266333,-83.2345,4.5,29.4,30.7,6,NA,NA,NA,8.3,FWC
1996,8,6,29.242,-83.242833,4.8,29.6,32.3,5.9,NA,NA,NA,8.2,FWC
1996,8,6,29.309333,-83.119333,6.3,27.7,0.2,6.2,NA,NA,NA,8.2,FWC
1996,8,7,29.347333,-83.2115,0.2,29.5,19.1,7.8,NA,NA,NA,8.3,FWC
1996,8,7,29.297333,-83.177333,0.3,31.4,8.1,7.9,NA,NA,NA,8.1,FWC
1996,8,7,29.174833,-83.113333,0.3,32.2,30.8,9.3,NA,NA,NA,8.3,FWC
1996,8,7,29.370833,-83.202167,0.4,30.1,15.1,8.3,NA,NA,NA,8.4,FWC
1996,8,7,29.3555,-83.185833,0.5,30.5,14.4,8.5,NA,NA,NA,8.2,FWC
1996,8,7,29.342333,-83.170333,0.5,31.7,10.9,6.2,NA,NA,NA,7.8,FWC
1996,8,7,29.275833,-83.172333,0.5,31.7,8.7,7.1,NA,NA,NA,8.1,FWC
1996,8,7,29.3045,-83.115167,0.5,28.3,0,6.1,NA,NA,NA,8.2,FWC
1996,8,7,29.347333,-83.2115,2.2,29.2,21,6.7,NA,NA,NA,8.2,FWC
1996,8,8,29.0975,-83.061667,0.4,29.7,30.4,4.7,NA,NA,NA,8.3,FWC
1996,8,8,29.125,-83.024833,0.6,29.4,29.3,4.4,NA,NA,NA,8.1,FWC
1996,8,13,29.213667,-83.071,0.2,26,23.8,6.6,NA,NA,NA,NA,FWC
1996,8,13,29.262333,-83.0845,0.3,26.7,2.4,8.1,NA,NA,NA,8.1,FWC
1996,8,13,29.290167,-83.079333,0.4,26.3,3.3,5.6,NA,NA,NA,7.7,FWC
1996,8,13,29.199,-83.0585,0.5,27.3,24.4,7.4,NA,NA,NA,NA,FWC
1996,8,14,29.171833,-82.9805,0.3,26.2,18.8,4.4,NA,NA,NA,7.8,FWC
1996,8,14,29.154333,-83.016,0.3,28.6,27,7.2,NA,NA,NA,8.2,FWC
1996,8,14,29.161,-82.986833,0.5,26.9,22.7,4.8,NA,NA,NA,7.7,FWC
1996,8,14,29.170167,-83.0045,0.6,26.9,22.7,5.1,NA,NA,NA,7.9,FWC
1996,8,14,29.162167,-83.016,0.6,27.3,25.4,5.3,NA,NA,NA,8,FWC
1996,8,15,29.168667,-82.9605,0.3,28.9,17.2,7.3,NA,NA,NA,8.1,FWC
1996,8,15,29.0885,-83.016,0.5,27.9,28.5,7.6,NA,NA,NA,8.4,FWC
1996,8,15,29.148167,-83.0305,0.6,31.1,25.8,8.7,NA,NA,NA,8.3,FWC
1996,8,20,29.354,-83.310333,0.2,29.1,26.8,6.8,NA,NA,NA,8.1,FWC
1996,8,20,29.353,-83.295833,0.2,28.9,26.3,7.3,NA,NA,NA,8.1,FWC
1996,8,20,29.122667,-83.102333,0.3,28.8,30.3,5.8,NA,NA,NA,8.4,FWC
1996,8,20,29.081833,-83.0535,0.3,29.9,28.3,10.1,NA,NA,NA,8.7,FWC
1996,8,20,29.078667,-83.078333,0.4,29.7,28.9,6.6,NA,NA,NA,8.5,FWC
1996,8,20,29.353,-83.295833,2.5,28.9,26.4,6.9,NA,NA,NA,8.1,FWC
1996,8,20,29.354,-83.310333,3,29.3,29.4,5.9,NA,NA,NA,7.2,FWC
1996,9,9,29.092667,-83.058333,0.2,30.4,29,5.2,NA,NA,NA,8.1,FWC
1996,9,9,29.028833,-83.031667,0.2,30.1,31,5.4,NA,NA,NA,8.1,FWC
1996,9,9,29.137667,-83.163833,0.2,30.1,28.6,5.9,NA,NA,NA,8.2,FWC
1996,9,9,29.1755,-83.123833,0.2,30.7,29.1,5.7,NA,NA,NA,8.2,FWC
1996,9,9,29.182667,-83.104333,0.2,31,26.3,5.8,NA,NA,NA,8.2,FWC
1996,9,9,29.138833,-83.098667,0.2,31.1,29.3,5.3,NA,NA,NA,8.1,FWC
1996,9,9,29.152167,-83.066667,0.2,31,23.4,5.1,NA,NA,NA,8.1,FWC
1996,9,9,29.152167,-83.066667,2.7,30.7,25.1,4.7,NA,NA,NA,8.1,FWC
1996,9,9,29.182667,-83.104333,2.8,30.4,29,4.9,NA,NA,NA,8.1,FWC
1996,9,9,29.1755,-83.123833,3.3,30.4,30.3,4.8,NA,NA,NA,8.1,FWC
1996,9,9,29.092667,-83.058333,4.8,30.3,29.4,4.9,NA,NA,NA,8.1,FWC
1996,9,9,29.138833,-83.098667,4.8,30.4,30.6,4.5,NA,NA,NA,8.1,FWC
1996,9,9,29.137667,-83.163833,5.2,29.9,32.4,4.6,NA,NA,NA,8.1,FWC
1996,9,9,29.028833,-83.031667,5.6,30.1,31.1,5.2,NA,NA,NA,8.1,FWC
1996,9,10,29.187167,-83.175,0.2,30,30.4,5.3,NA,NA,NA,8.1,FWC
1996,9,10,29.188833,-83.192,0.2,29.7,31.4,4.6,NA,NA,NA,8.1,FWC
1996,9,10,29.215667,-83.195167,0.2,29.8,30.9,5.1,NA,NA,NA,8.2,FWC
1996,9,10,29.218667,-83.227333,0.2,29.7,31.6,5.4,NA,NA,NA,8.2,FWC
1996,9,10,29.220167,-83.151833,0.2,30.2,29.8,5.3,NA,NA,NA,8.2,FWC
1996,9,10,29.222833,-83.121,0.2,29.9,27.1,4.8,NA,NA,NA,8.1,FWC
1996,9,10,29.222333,-83.111333,0.2,30.3,24.6,5.1,NA,NA,NA,8.2,FWC
1996,9,10,29.222333,-83.111333,2.8,29.7,25.6,3.6,NA,NA,NA,8,FWC
1996,9,10,29.220167,-83.151833,3.1,30.2,29.8,5.1,NA,NA,NA,8.2,FWC
1996,9,10,29.222833,-83.121,3.1,30,27.7,4.7,NA,NA,NA,8.1,FWC
1996,9,10,29.215667,-83.195167,4.6,29.8,31,4.9,NA,NA,NA,8.2,FWC
1996,9,10,29.187167,-83.175,4.8,30.1,30.4,4.8,NA,NA,NA,8.1,FWC
1996,9,10,29.218667,-83.227333,5.1,29.7,31.7,5.3,NA,NA,NA,8.2,FWC
1996,9,10,29.188833,-83.192,5.2,29.7,31.5,4.9,NA,NA,NA,8.1,FWC
1996,9,12,29.129333,-82.961667,0.2,NA,23.2,NA,NA,NA,NA,NA,FWC
1996,9,12,29.150833,-82.962667,0.2,29.5,NA,8,NA,NA,NA,8.5,FWC
1996,9,12,29.136167,-82.998667,0.2,30,27.8,6.5,NA,NA,NA,8.3,FWC
1996,9,12,29.129333,-82.961667,2.4,NA,23.2,NA,NA,NA,NA,NA,FWC
1996,9,12,29.150833,-82.962667,2.6,29.5,NA,7.9,NA,NA,NA,8.5,FWC
1996,9,12,29.136167,-82.998667,2.7,29.8,27.9,6.1,NA,NA,NA,8.3,FWC
1996,9,17,29.17,-82.956833,0.2,31.4,21.5,7.8,NA,NA,NA,8.1,FWC
1996,9,17,29.182333,-82.965833,0.2,32.4,22.2,6.6,NA,NA,NA,8.1,FWC
1996,9,17,29.141667,-83.016167,0.3,27.6,27.1,5.4,NA,NA,NA,8.1,FWC
1996,9,17,29.161667,-82.988833,0.5,27.7,24.4,4.5,NA,NA,NA,7.9,FWC
1996,9,18,29.102167,-83.059833,0.3,28.6,29.2,5,NA,NA,NA,8.2,FWC
1996,9,18,29.099667,-83.036833,0.3,28.7,29,5.9,NA,NA,NA,8.4,FWC
1996,9,18,29.1025,-83.071,0.3,31.8,29.1,8.7,NA,NA,NA,8.6,FWC
1996,9,18,29.132333,-83.107333,0.4,28.9,29.4,5.6,NA,NA,NA,8.4,FWC
1996,9,19,29.282667,-83.213,0.2,27.2,21.8,NA,NA,NA,NA,NA,FWC
1996,9,19,29.2905,-83.196167,0.2,27.2,24.5,NA,NA,NA,NA,NA,FWC
1996,9,19,29.322833,-83.284333,0.2,27.2,25.5,NA,NA,NA,NA,NA,FWC
1996,9,19,29.285,-83.159833,0.2,30.1,1.3,6.4,NA,NA,NA,8.3,FWC
1996,9,19,29.3495,-83.282667,0.7,28.1,27.8,NA,NA,NA,NA,NA,FWC
1996,9,19,29.244833,-83.174667,0.8,28.9,17,5.6,NA,NA,NA,8.4,FWC
1996,9,19,29.2905,-83.196167,2.7,NA,28.5,NA,NA,NA,NA,NA,FWC
1996,9,19,29.282667,-83.213,3.6,NA,29.1,NA,NA,NA,NA,NA,FWC
1996,9,19,29.322833,-83.284333,3.9,NA,29.4,NA,NA,NA,NA,NA,FWC
1996,9,20,29.137167,-82.981333,0.6,28.1,26,6.7,NA,NA,NA,8.4,FWC
1996,9,20,29.126,-83.048833,0.6,27.8,NA,NA,NA,NA,NA,NA,FWC
1996,9,25,29.171667,-83.006,0.2,25.5,28,NA,NA,NA,NA,NA,FWC
1996,9,25,29.3385,-83.1535,0.3,26.4,17.3,5,NA,NA,NA,8.1,FWC
1996,9,25,29.2315,-83.0815,0.4,28,21,NA,NA,NA,NA,NA,FWC
1996,9,25,29.308667,-83.152833,0.5,25.3,0.6,6.1,NA,NA,NA,8.2,FWC
1996,9,25,29.345167,-83.175833,0.5,26.2,21.3,5.2,NA,NA,NA,8.2,FWC
1996,9,25,29.173333,-83.0055,0.5,25,16,NA,NA,NA,NA,NA,FWC
1996,9,25,29.279667,-83.103167,0.5,26.6,14.8,5.7,NA,NA,NA,8.3,FWC
1996,9,25,29.2895,-83.149833,0.5,26.3,16.1,5.2,NA,NA,NA,8.3,FWC
1996,9,25,29.258667,-83.077833,0.5,28.3,12.5,6.6,NA,NA,NA,8.3,FWC
1996,9,25,29.176,-83.056667,0.6,25,20,NA,NA,NA,NA,NA,FWC
1996,9,25,29.273,-83.072667,0.6,27.4,10.1,5.4,NA,NA,NA,8.1,FWC
1996,10,4,29.124667,-82.9565,0.2,25.2,23.9,6.1,NA,NA,NA,8.6,FWC
1996,10,4,29.0765,-83.017833,0.2,25.1,28.3,5.8,NA,NA,NA,8.6,FWC
1996,10,4,29.059333,-83.0095,0.2,25.4,29.4,5.9,NA,NA,NA,8.6,FWC
1996,10,4,29.085,-83.055667,0.2,25.5,27.9,6.2,NA,NA,NA,8.7,FWC
1996,10,4,29.0765,-83.017833,1.6,25.1,28.8,5.8,NA,NA,NA,8.6,FWC
1996,10,4,29.044833,-83.0375,2.2,26.1,30.9,6.4,NA,NA,NA,8.7,FWC
1996,10,4,29.124667,-82.9565,2.7,25.2,24,5.9,NA,NA,NA,8.6,FWC
1996,10,4,29.085,-83.055667,3.7,25.4,27.9,5.8,NA,NA,NA,8.6,FWC
1996,10,4,29.059333,-83.0095,3.9,25.4,29.4,5.8,NA,NA,NA,8.6,FWC
1996,10,11,29.0795,-83.132667,0.2,22.8,30.7,6.5,NA,NA,NA,8.7,FWC
1996,10,11,29.106333,-83.1225,0.2,22.9,30,6.6,NA,NA,NA,8.8,FWC
1996,10,11,29.123167,-83.132833,0.2,22.7,29.2,6.6,NA,NA,NA,8.7,FWC
1996,10,11,29.2075,-83.1045,0.2,22.4,23.7,9.1,NA,NA,NA,8.7,FWC
1996,10,11,29.232167,-83.110667,0.2,22.3,19,7.4,NA,NA,NA,8.5,FWC
1996,10,11,29.133167,-83.067333,0.2,23,26.7,8.5,NA,NA,NA,8.8,FWC
1996,10,11,29.119333,-83.056,0.2,22.8,27.4,7.7,NA,NA,NA,8.8,FWC
1996,10,11,29.096167,-83.091833,0.4,21.3,30.3,6.1,NA,NA,NA,8.6,FWC
1996,10,11,29.082333,-83.083833,0.5,21.8,29.8,7.1,NA,NA,NA,8.7,FWC
1996,10,11,29.2075,-83.1045,2.5,22.2,24.5,7.1,NA,NA,NA,8.6,FWC
1996,10,11,29.232167,-83.110667,2.7,21.8,20.1,6.2,NA,NA,NA,8.5,FWC
1996,10,11,29.119333,-83.056,2.8,22.5,28,7.3,NA,NA,NA,8.8,FWC
1996,10,11,29.133167,-83.067333,3,23.1,28.8,7,NA,NA,NA,8.8,FWC
1996,10,11,29.106333,-83.1225,5.2,23.5,31.1,5,NA,NA,NA,8.7,FWC
