date,site,recorder,transect number,distance along transect,distance from transect (m),live,,,,,,dead,,,,Live count over 100,,,,,dead count over 100,,
5/17/2015,LC04,Nick Fisch,3,20,2.5,34,30,,,,,,,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,3,13,0.1,,,,,,,,62,,,,,,,,,,
5/17/2015,LC04,Nick Fisch,3,17,4,30,22,28,,,,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,1,0,3.9,na,,,,,,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,1,18,4,28,20,,,,,,20,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,1,6,0.3,na,,,,,,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,1,3,2.3,na,,,,,,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,1,17,3.6,na,,,,,,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,1,15,1.5,na,,,,,,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,1,11,1.9,33,21,24,18,30,22,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,1,11,1.9,23,30,28,30,25,39,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,1,11,1.9,23,52,22,32,28,30,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,1,11,1.9,40,20,25,18,39,30,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,1,11,1.9,32,24,24,34,28,25,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,1,11,1.9,23,25,32,20,30,32,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,1,11,1.9,31,33,32,30,26,22,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,1,11,1.9,26,,,,,,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,1,3,2.6,na,,,,,,,,,,,,,,,,,
5/18/2015,LC05,Nick Fisch,1,6,1.1,25,30,20,22,20,20,,,,,,,,,,6,,
5/18/2015,LC05,Nick Fisch,2,1,2.6,34,22,,,,,,,,,,,,,,,,
